Time,WorldPosX,WorldPosY,WorldPosZ,LocalPosX,LocalPosY,LocalPosZ,RotationX,RotationY,RotationZ,RotationW
0,426.785,54.2,47.55,0,0,0,0,0,0,1
0.02,426.785,54.2,47.55,0,0,0,0,0,0,1
0.3533334,427.3287,54.04633,48.3335,0.5436938,-0.1536734,0.7835006,0.02352703,-0.7257556,-0.00982886,0.6874799
0.4307683,427.3311,54.04814,48.33446,0.5460625,-0.151861,0.7844579,0.02074802,-0.7206814,-0.01892008,0.6926976
0.4570884,427.3331,54.0499,48.33559,0.548124,-0.1500993,0.7855883,0.01677352,-0.7132916,-0.02701324,0.7001457
0.4716077,427.334,54.05072,48.33611,0.5489457,-0.1492822,0.7861071,0.0142339,-0.7103786,-0.02961222,0.7030525
0.4797176,427.3343,54.05119,48.33634,0.5492533,-0.1488142,0.7863377,0.01278854,-0.7090386,-0.03111842,0.7043667
0.4930477,427.3346,54.05146,48.33656,0.5496321,-0.1485381,0.7865556,0.01110615,-0.7077957,-0.03196012,0.7056065
0.5079575,427.335,54.05179,48.33673,0.549992,-0.14821,0.7867295,0.01005303,-0.7068692,-0.03332353,0.7064874
0.5213693,427.3354,54.05212,48.33681,0.5503754,-0.1478825,0.7868086,0.009540611,-0.7058761,-0.0350071,0.7074054
0.5353109,427.3357,54.05237,48.33694,0.5506831,-0.147634,0.7869335,0.008872067,-0.7050073,-0.03645369,0.708207
0.5496871,427.336,54.05256,48.33708,0.5510346,-0.1474392,0.7870753,0.007783784,-0.7044987,-0.03725637,0.708684
0.5633894,427.3364,54.05275,48.33708,0.5513851,-0.1472491,0.7870778,0.006892553,-0.7041029,-0.0381282,0.7090401
0.57722,427.3367,54.05288,48.33712,0.5517223,-0.147118,0.7871211,0.006220445,-0.7039316,-0.03883114,0.7091783
0.5912091,427.337,54.05307,48.3372,0.5519995,-0.1469326,0.7871991,0.005662162,-0.7038212,-0.03964337,0.7092475
0.6046672,427.3373,54.05329,48.33733,0.5523207,-0.1467131,0.7873254,0.004904618,-0.7037427,-0.04022878,0.7092981
0.6191754,427.3377,54.05345,48.33748,0.55269,-0.1465485,0.787475,0.00433221,-0.7037178,-0.04099065,0.7092829
0.637951,427.338,54.05354,48.33763,0.5529974,-0.1464641,0.7876271,0.003980789,-0.7035994,-0.04167467,0.7093626
