Time,WorldPosX,WorldPosY,WorldPosZ,LocalPosX,LocalPosY,LocalPosZ,RotationX,RotationY,RotationZ,RotationW
0,426.785,54.2,47.55,0,0,0,0,0,0,1
0.02,426.785,54.2,47.55,0,0,0,0,0,0,1
0.3533334,427.2115,54.19943,48.47043,0.4265347,-0.0005700663,0.9204276,0.0569321,-0.7440456,0.02763203,0.6651251
0.4312575,427.212,54.20013,48.46986,0.4269841,0.0001277551,0.9198573,0.05354208,-0.744873,0.02568855,0.6645581
0.4654711,427.2121,54.20071,48.46928,0.4270884,0.0007074415,0.919273,0.05073664,-0.7458212,0.02292285,0.6638156
0.480803,427.212,54.20102,48.46909,0.427025,0.001016587,0.9190828,0.0492878,-0.7459896,0.02132161,0.6637889
0.4896697,427.2119,54.20123,48.46903,0.426941,0.001231637,0.9190298,0.04847116,-0.74612,0.02040682,0.6637312
0.5018772,427.2119,54.20137,48.469,0.4268588,0.001373932,0.918994,0.04802962,-0.7461582,0.0195003,0.6637475
0.5177397,427.2119,54.20138,48.46901,0.4268536,0.00137677,0.9190088,0.04752381,-0.7462175,0.01908063,0.6637295
0.5314273,427.2118,54.20141,48.46904,0.4268267,0.001411021,0.9190377,0.0467631,-0.7462056,0.01830255,0.6638188
0.5431637,427.2118,54.2015,48.46914,0.4267804,0.001498312,0.9191375,0.04610718,-0.7461565,0.01734057,0.6639457
0.5581616,427.2117,54.20157,48.46926,0.4267268,0.001568056,0.9192562,0.04554858,-0.7459814,0.01666354,0.6641983
0.5725253,427.2117,54.20154,48.46938,0.4266751,0.001536867,0.9193811,0.04530785,-0.7458077,0.01605477,0.6644249
0.5851983,427.2116,54.20138,48.46952,0.4266479,0.001381512,0.9195144,0.04505224,-0.7455868,0.01574337,0.6646975
0.6001604,427.2116,54.20127,48.4697,0.4266203,0.001265957,0.9196929,0.04431972,-0.7453451,0.01530936,0.6650279
0.614274,427.2116,54.20138,48.4699,0.4266004,0.001377321,0.9198951,0.04400882,-0.7450433,0.01470627,0.6654001
0.6277974,427.2116,54.20147,48.47012,0.4265881,0.001473062,0.9201126,0.0439064,-0.7446496,0.01439864,0.6658543
0.6480134,427.2116,54.20144,48.47028,0.4265714,0.001436574,0.9202722,0.04369815,-0.7441638,0.01402983,0.6664188
