Time,WorldPosX,WorldPosY,WorldPosZ,LocalPosX,LocalPosY,LocalPosZ,RotationX,RotationY,RotationZ,RotationW
0,426.785,54.2,47.55,0,0,0,0,-0.7071068,0,0.7071068
0.02,426.785,54.2,47.55,0,0,0,0,-0.7071068,0,0.7071068
0.3533334,427.263,54.05718,48.03489,0.4848821,-0.1428168,-0.478008,-0.03453018,-0.7932485,-0.05677777,0.605261
0.4343683,427.2649,54.05847,48.03611,0.4861115,-0.1415337,-0.4798914,-0.03910891,-0.7938153,-0.06255536,0.6036676
0.4626184,427.266,54.0596,48.03707,0.4870633,-0.1403949,-0.4809823,-0.04426347,-0.7953461,-0.0674353,0.6007644
0.4822936,427.2664,54.06008,48.0374,0.4873943,-0.1399247,-0.4813841,-0.04682451,-0.7964544,-0.06957206,0.5988552
0.4946252,427.2667,54.0602,48.0374,0.487392,-0.1397969,-0.4816704,-0.04833674,-0.7972587,-0.07031697,0.5975766
0.5094783,427.2671,54.06052,48.0373,0.4873014,-0.1394752,-0.4820467,-0.04956939,-0.7980224,-0.07108101,0.5963644
0.5230817,427.2674,54.06102,48.03723,0.4872229,-0.1389752,-0.4824177,-0.05114482,-0.7988938,-0.07265197,0.5948738
0.5358958,427.2678,54.06153,48.03721,0.4872059,-0.138473,-0.4827512,-0.05295305,-0.7997896,-0.07445454,0.5932868
0.5750207,427.2685,54.06171,48.03666,0.4866523,-0.1382858,-0.4835203,-0.05476846,-0.8009926,-0.07599256,0.5913005
0.5948063,427.2694,54.06269,48.0363,0.4862998,-0.1373148,-0.4843766,-0.06034254,-0.8035172,-0.07910838,0.5869078
0.606805,427.2698,54.06313,48.03628,0.4862796,-0.1368691,-0.4848456,-0.06192784,-0.8051545,-0.08135219,0.5841858
0.6193178,427.2703,54.06346,48.03618,0.4861772,-0.1365396,-0.4853112,-0.06340631,-0.8064705,-0.08365786,0.5818818
0.6337448,427.2707,54.06365,48.03586,0.4858593,-0.1363469,-0.4856832,-0.06426443,-0.8073332,-0.0849007,0.5804095
0.648719,427.271,54.06379,48.03586,0.4858599,-0.1362159,-0.4860306,-0.06494579,-0.8083503,-0.08591581,0.5787662
0.6634253,427.2714,54.06381,48.03587,0.4858653,-0.1361895,-0.4863512,-0.06542298,-0.8090401,-0.08652098,0.5776574
0.6780887,427.2717,54.06385,48.03585,0.4858452,-0.1361514,-0.4866967,-0.06568319,-0.8096169,-0.08739808,0.576687
0.6899238,427.2721,54.06409,48.03597,0.4859655,-0.1359147,-0.4871036,-0.06561716,-0.8096955,-0.08759584,0.5765541
0.7042301,427.2725,54.06429,48.03613,0.486131,-0.1357116,-0.4874561,-0.06595408,-0.8097873,-0.08812746,0.5763055
0.7188095,427.2727,54.06441,48.03627,0.4862702,-0.1355854,-0.4876861,-0.06652915,-0.8094779,-0.08895612,0.5765467
