Time,WorldPosX,WorldPosY,WorldPosZ,LocalPosX,LocalPosY,LocalPosZ,RotationX,RotationY,RotationZ,RotationW
0,426.785,54.2,47.55,0,0,0,0,-0.7071068,0,0.7071068
0.02,426.785,54.2,47.55,0,0,0,0,-0.7071068,0,0.7071068
0.3533334,427.1273,54.16345,48.0127,0.4626906,-0.03655058,-0.3423446,-0.01270059,-0.8355531,0.01782034,0.5489738
0.4399261,427.1274,54.16333,48.01302,0.4630184,-0.03667259,-0.3423901,-0.01291519,-0.8353038,0.01680576,0.5493801
0.4721285,427.127,54.16337,48.01346,0.4634542,-0.03662859,-0.3420149,-0.0125242,-0.8350588,0.01687272,0.5497594
0.4916221,427.1269,54.16332,48.01336,0.4633534,-0.03667767,-0.3419062,-0.01228541,-0.835072,0.01695814,0.5497419
0.5124217,427.1268,54.16326,48.01341,0.4634079,-0.03674099,-0.3417527,-0.01215347,-0.8351248,0.01708385,0.5496609
0.526464,427.1267,54.16334,48.0134,0.4633952,-0.03665908,-0.3416933,-0.01226961,-0.8351611,0.01709852,0.5496026
0.5388833,427.1266,54.16346,48.01338,0.4633762,-0.03654067,-0.3416409,-0.01216872,-0.8351567,0.01701193,0.5496142
0.5534326,427.1266,54.16344,48.01337,0.46337,-0.03655468,-0.3415976,-0.01214662,-0.8351653,0.0168328,0.5496072
0.5697784,427.1266,54.16343,48.0134,0.4633955,-0.0365744,-0.3415389,-0.01214083,-0.8351408,0.0167322,0.5496476
0.5817173,427.1266,54.16345,48.01332,0.4633206,-0.03654776,-0.3415521,-0.01232423,-0.8350236,0.01658233,0.5498263
0.5940393,427.1266,54.16354,48.0133,0.4632968,-0.03645837,-0.3415432,-0.01257268,-0.8349911,0.01642077,0.5498748
0.6086835,427.1266,54.16368,48.01327,0.463265,-0.03631767,-0.341551,-0.01304006,-0.834955,0.01616845,0.5499261
0.6221663,427.1266,54.1638,48.01331,0.4633045,-0.03620698,-0.341639,-0.01328245,-0.8348299,0.0158064,0.5501207
0.6401246,427.1267,54.16389,48.01338,0.4633784,-0.03610959,-0.3417116,-0.01352768,-0.8347988,0.01526907,0.5501772
0.6514469,427.1268,54.16404,48.01343,0.4634289,-0.03595572,-0.3417818,-0.01364961,-0.8346933,0.01492177,0.5503436
0.6627162,427.1269,54.1644,48.01338,0.4633801,-0.03560345,-0.341884,-0.01366949,-0.8345955,0.01446072,0.5505038
0.6776416,427.127,54.16474,48.01338,0.4633741,-0.03526205,-0.3419963,-0.01399084,-0.8345593,0.01409577,0.5505601
0.6924868,427.127,54.16489,48.01349,0.4634885,-0.0351062,-0.3420509,-0.01415473,-0.8344513,0.01356579,0.550733
0.7056022,427.1272,54.1649,48.01344,0.4634396,-0.0350989,-0.3421885,-0.01431264,-0.8342909,0.01330932,0.5509779
