Time,WorldPosX,WorldPosY,WorldPosZ,LocalPosX,LocalPosY,LocalPosZ,RotationX,RotationY,RotationZ,RotationW
0,426.785,54.2,47.55,0,0,0,0,-0.7071068,0,0.7071068
0.02,426.785,54.2,47.55,0,0,0,0,-0.7071068,0,0.7071068
0.3533334,427.5735,54.01031,48.39045,0.8404469,-0.1896843,-0.7885307,-0.04470226,-0.7176115,-0.03698266,0.6940231
0.4417977,427.5735,54.01054,48.39067,0.8406625,-0.1894587,-0.7885529,-0.0443032,-0.7167116,-0.0379341,0.6949264
0.4663472,427.5733,54.01058,48.39092,0.8409173,-0.1894199,-0.7883233,-0.04380208,-0.7166927,-0.03777792,0.6949862
0.4772061,427.5733,54.01061,48.39101,0.8410105,-0.1893929,-0.7882797,-0.0436089,-0.7168468,-0.03749293,0.6948549
0.4909642,427.5734,54.0106,48.39103,0.8410296,-0.1894037,-0.7883621,-0.04364998,-0.7171602,-0.03713326,0.6945483
0.5053663,427.5734,54.01058,48.39106,0.8410584,-0.18942,-0.7884115,-0.04353308,-0.717312,-0.0370368,0.6944039
0.5198348,427.5735,54.01056,48.39106,0.8410611,-0.1894421,-0.788475,-0.04345468,-0.7173733,-0.03717792,0.6943379
0.5332252,427.5735,54.0105,48.39098,0.8409734,-0.1894981,-0.7885061,-0.04345519,-0.7174927,-0.03738574,0.6942034
0.5471134,427.5736,54.01046,48.39086,0.8408594,-0.1895438,-0.7885609,-0.0435638,-0.7176235,-0.03764533,0.6940473
0.5612627,427.5735,54.01051,48.39076,0.8407593,-0.1894913,-0.7885503,-0.04362695,-0.7176559,-0.03785155,0.6939986
0.5748788,427.5735,54.0106,48.39066,0.8406531,-0.1893955,-0.7885421,-0.04366034,-0.7178589,-0.03795496,0.6937809
0.5882667,427.5735,54.01063,48.39056,0.8405561,-0.1893682,-0.7885447,-0.04393733,-0.7180426,-0.03770052,0.6935872
0.602878,427.5735,54.01058,48.39047,0.8404706,-0.1894215,-0.7885318,-0.04410257,-0.7181721,-0.03771279,0.6934419
0.6215047,427.5735,54.01049,48.39036,0.8403541,-0.1895101,-0.7885562,-0.04422082,-0.7182872,-0.0376032,0.6933212
0.6301742,427.5736,54.01047,48.39027,0.8402643,-0.1895345,-0.7886041,-0.04437152,-0.7182953,-0.03791524,0.6932861
0.6435623,427.5736,54.01048,48.3902,0.8401944,-0.189523,-0.7886438,-0.04452346,-0.7181719,-0.03817493,0.69339
0.6581466,427.5737,54.01055,48.39012,0.8401192,-0.1894523,-0.7886957,-0.04473567,-0.7181376,-0.03836363,0.6934015
0.6719366,427.5737,54.01065,48.39005,0.8400514,-0.189348,-0.7887108,-0.04484008,-0.7181705,-0.03817006,0.6933714
0.6860043,427.5737,54.01074,48.38998,0.839978,-0.1892597,-0.7887372,-0.04495174,-0.7182099,-0.03797274,0.6933341
