Time,WorldPosX,WorldPosY,WorldPosZ,LocalPosX,LocalPosY,LocalPosZ,RotationX,RotationY,RotationZ,RotationW
0,426.785,54.2,47.55,0,0,0,0,0,0,1
0.02,426.785,54.2,47.55,0,0,0,0,0,0,1
0.3533334,427.7321,54.01672,48.48237,0.9470713,-0.1832836,0.9323688,-0.06802052,-0.7031617,-0.08061406,0.7031631
0.4376107,427.7328,54.01709,48.48239,0.9477791,-0.1829124,0.9323897,-0.06751412,-0.7034464,-0.08031154,0.7029616
0.4737211,427.7336,54.01668,48.48229,0.9485595,-0.1833175,0.9322855,-0.06693495,-0.7034258,-0.08023713,0.7030461
0.4863581,427.7338,54.01661,48.48219,0.9488236,-0.1833869,0.9321817,-0.0666592,-0.7034233,-0.08015307,0.7030844
0.5002275,427.7339,54.01658,48.4819,0.9489118,-0.1834188,0.9318971,-0.0666547,-0.7032471,-0.07999371,0.7032792
0.5135086,427.734,54.0164,48.48187,0.9489693,-0.1835963,0.9318644,-0.06662229,-0.7031676,-0.08001807,0.7033591
0.5269114,427.734,54.01622,48.4818,0.9490153,-0.1837751,0.9318006,-0.06643151,-0.7029582,-0.07995571,0.7035934
0.5836747,427.7336,54.0162,48.48186,0.9486042,-0.1838009,0.9318593,-0.06654112,-0.7027391,-0.08023828,0.7037698
0.6020409,427.7335,54.01619,48.48206,0.9484527,-0.1838168,0.9320613,-0.06645297,-0.7023103,-0.08068268,0.7041553
0.6871427,427.7325,54.01634,48.4824,0.9474446,-0.1836568,0.9323905,-0.06638816,-0.7020127,-0.08098698,0.7044232
0.7085915,427.7316,54.01701,48.4823,0.9466107,-0.1829947,0.9322957,-0.06858664,-0.700892,-0.08177587,0.7052369
0.7372537,427.7314,54.01766,48.48211,0.9464369,-0.1823418,0.9321008,-0.07072194,-0.7003806,-0.08189449,0.7055202
0.7516707,427.732,54.01777,48.48191,0.9470184,-0.1822306,0.9319081,-0.07122686,-0.7010623,-0.08153556,0.7048336
0.7776687,427.7328,54.01781,48.48109,0.9477784,-0.1821889,0.931092,-0.07137841,-0.7015863,-0.08162422,0.7042863
0.8093057,427.7331,54.01814,48.48056,0.9480863,-0.1818663,0.9305553,-0.07154984,-0.7021841,-0.0817735,0.7036555
0.8364825,427.7331,54.01821,48.48044,0.9481322,-0.1817913,0.9304403,-0.07125703,-0.7024817,-0.08087188,0.7034924
