Time,WorldPosX,WorldPosY,WorldPosZ,LocalPosX,LocalPosY,LocalPosZ,RotationX,RotationY,RotationZ,RotationW
0,426.785,54.2,47.55,0,0,0,0,-0.7071068,0,0.7071068
0.02,426.785,54.2,47.55,0,0,0,0,-0.7071068,0,0.7071068
0.3533334,426.5602,54.31533,48.58851,1.038504,0.1153333,0.2248552,-0.01765844,-0.9843169,-0.09262699,0.1490928
0.3944298,426.5601,54.31563,48.5888,1.038794,0.1156255,0.2249276,-0.01723052,-0.984158,-0.09343052,0.1496897
0.4114743,426.56,54.31577,48.58903,1.039025,0.1157655,0.225043,-0.01721814,-0.9840711,-0.09384064,0.150005
0.419605,426.5599,54.31581,48.58912,1.039114,0.1158059,0.2250692,-0.01708159,-0.9840295,-0.09412515,0.1501159
0.4308606,426.5599,54.31581,48.58921,1.039204,0.1158078,0.2250719,-0.01711774,-0.9839915,-0.09440126,0.1501874
0.4441384,426.5599,54.31582,48.58929,1.039292,0.1158235,0.2250669,-0.01694872,-0.9839631,-0.09468143,0.1502164
0.4626913,426.5599,54.31585,48.58943,1.039425,0.1158437,0.2250998,-0.01684502,-0.983959,-0.09497839,0.1500666
0.4738224,426.5598,54.31586,48.58959,1.039589,0.115862,0.2251678,-0.0168191,-0.9839404,-0.0951609,0.1500762
0.4863912,426.5598,54.31586,48.58975,1.039744,0.1158601,0.2252246,-0.01670827,-0.9839069,-0.09541729,0.1501454
0.5008389,426.5598,54.31587,48.58984,1.039834,0.1158699,0.2252436,-0.01669894,-0.9838758,-0.09568485,0.1501803
0.5150191,426.5598,54.31584,48.58994,1.039938,0.115837,0.2252481,-0.01643939,-0.9838789,-0.09576048,0.1501407
0.5279716,426.5597,54.31584,48.59003,1.040032,0.1158393,0.2253131,-0.01641435,-0.9838324,-0.09591852,0.1503468
0.5419481,426.5596,54.31585,48.59013,1.040126,0.115844,0.2253821,-0.01616399,-0.983818,-0.09590924,0.1504738
0.5554751,426.5596,54.31583,48.5902,1.040198,0.1158325,0.2254197,-0.01627144,-0.9838096,-0.09563121,0.1506934
0.5700005,426.5596,54.31585,48.59024,1.040236,0.1158437,0.2254196,-0.0161563,-0.9838029,-0.09547257,0.1508504
0.5836045,426.5596,54.31586,48.59026,1.040261,0.1158556,0.2254366,-0.01616391,-0.9837788,-0.09540217,0.1510516
0.5947548,426.5594,54.31588,48.59026,1.040254,0.1158747,0.2255494,-0.01597406,-0.9837448,-0.09569256,0.1511091
0.6152738,426.5594,54.31592,48.59025,1.040246,0.1159163,0.2256442,-0.01556431,-0.983709,-0.09594347,0.1512263
0.6253635,426.5593,54.31599,48.59023,1.04023,0.115988,0.2257156,-0.01548148,-0.9836679,-0.09611814,0.151391
0.640928,426.5592,54.31606,48.59024,1.040232,0.1160543,0.22576,-0.01535797,-0.9836307,-0.09634674,0.1514998
