Time,PositionX,PositionY,PositionZ,RotationX,RotationY,RotationZ,RotationW
0,426.785,53.775,47.55,0,-0.7071068,0,0.7071068
0.02,426.785,53.775,47.55,0,-0.7071068,0,0.7071068
0.3533334,426.785,53.775,47.55,0.008855172,-0.6494344,0.03085018,0.7597399
0.3871931,426.785,53.775,47.55,0.004779267,-0.6473849,0.02792984,0.7616364
0.3990006,426.785,53.775,47.55,0.002867155,-0.6470422,0.02674656,0.7619796
0.4063312,426.785,53.775,47.55,0.002128231,-0.6470438,0.02699776,0.7619718
0.4213896,426.785,53.775,47.55,0.001156739,-0.6471783,0.02656249,0.761875
0.4352866,426.785,53.775,47.55,-0.0001613973,-0.6474009,0.02571153,0.7617159
0.4496777,426.785,53.775,47.55,-0.001707969,-0.6473618,0.02499304,0.7617711
0.4615153,426.785,53.775,47.55,-0.002686608,-0.6472656,0.02458706,0.7618632
0.4790297,426.785,53.775,47.55,-0.003168211,-0.6471485,0.02407459,0.7619773
0.4919956,426.785,53.775,47.55,-0.003623746,-0.6473749,0.02325835,0.7618082
0.50546,426.785,53.775,47.55,-0.004232125,-0.6475882,0.02201697,0.7616607
0.5193967,426.785,53.775,47.55,-0.005073205,-0.647974,0.02090591,0.7613587
0.5332409,426.785,53.775,47.55,-0.005989844,-0.6482291,0.02022324,0.7611533
0.5465012,426.785,53.775,47.55,-0.006663731,-0.6483408,0.01979235,0.7610639
0.5604491,426.785,53.775,47.55,-0.00690085,-0.6483727,0.01933319,0.7610464
0.5749853,426.785,53.775,47.55,-0.007200893,-0.6485266,0.01898338,0.7609212
0.5860229,426.785,53.775,47.55,-0.007166325,-0.6488794,0.01879122,0.7606254
0.6020645,426.785,53.775,47.55,-0.007224207,-0.6492717,0.01825779,0.7603031
0.6617808,426.785,53.775,47.55,-0.006979942,-0.6498612,0.01789246,0.7598103
0.6721771,426.785,53.775,47.55,-0.007176582,-0.6514459,0.01565316,0.7584997
0.7692536,426.785,53.775,47.55,-0.006993521,-0.6512102,0.0121887,0.7587674
0.7888448,426.785,53.775,47.55,-0.007622664,-0.6504451,0.007852349,0.7594745
0.8089986,426.785,53.775,47.55,-0.007865793,-0.6505483,0.00679051,0.7593938
0.8293384,426.785,53.775,47.55,-0.008486654,-0.6507016,0.005159719,0.7592686
0.849714,426.785,53.775,47.55,-0.009420808,-0.6511627,0.004972097,0.7588634
0.8663353,426.785,53.775,47.55,-0.0101455,-0.6515234,0.004535689,0.7585472
0.8865485,426.785,53.775,47.55,-0.01300731,-0.651899,0.002016228,0.7581916
0.9077569,426.785,53.775,47.55,-0.01379137,-0.6508464,0.001796158,0.7590821
0.9274051,426.785,53.775,47.55,-0.01583044,-0.65035,0.0005053175,0.7594697
0.9480301,426.785,53.775,47.55,-0.01749193,-0.6504216,-0.0001968797,0.7593719
0.9684947,426.785,53.775,47.55,-0.01936718,-0.6503297,-0.0009515956,0.7594046
0.9888759,426.785,53.775,47.55,-0.02197981,-0.6500242,-0.002355332,0.759592
1.009609,426.785,53.775,47.55,-0.02283766,-0.6498602,-0.002962351,0.7597048
1.026349,426.785,53.775,47.55,-0.02515005,-0.6494285,-0.003993388,0.7599962
1.050321,426.785,53.775,47.55,-0.02687997,-0.6487811,-0.004931023,0.7604842
1.067044,426.785,53.775,47.55,-0.02913577,-0.6481533,-0.006993951,0.7609202
1.087329,426.785,53.775,47.55,-0.03142333,-0.6474603,-0.008991805,0.761398
1.107815,426.785,53.775,47.55,-0.03295764,-0.6470137,-0.01050121,0.7616934
1.128116,426.785,53.775,47.55,-0.03638271,-0.6456518,-0.01369667,0.7626418
1.148961,426.785,53.775,47.55,-0.041341,-0.6433867,-0.01835832,0.7642038
1.169538,426.785,53.775,47.55,-0.04763207,-0.6415282,-0.02372872,0.7652515
1.189897,426.785,53.775,47.55,-0.05264482,-0.6410533,-0.02740884,0.765198
1.206326,426.785,53.775,47.55,-0.05718407,-0.6390502,-0.03183568,0.7663754
1.230557,426.785,53.775,47.55,-0.05664201,-0.6389512,-0.03115447,0.7665263
1.247004,426.785,53.775,47.55,-0.05964978,-0.6373263,-0.03318577,0.7675649
1.267688,426.785,53.775,47.55,-0.06305931,-0.636232,-0.03571696,0.7680864
