Time,WorldPosX,WorldPosY,WorldPosZ,LocalPosX,LocalPosY,LocalPosZ,RotationX,RotationY,RotationZ,RotationW
0,426.785,54.2,47.55,0,0,0,0,-0.7071068,0,0.7071068
0.02,426.785,54.2,47.55,0,0,0,0,-0.7071068,0,0.7071068
0.3533334,427.2333,54.25251,47.99114,0.4411403,0.05250478,-0.4482597,-0.05149797,-0.7371802,-0.03776277,0.6726718
0.4364803,427.2338,54.25298,47.99163,0.4416245,0.05297297,-0.4487587,-0.05294688,-0.7363945,-0.03943549,0.6733237
0.460658,427.2339,54.25333,47.992,0.4420028,0.05332841,-0.4489101,-0.05279068,-0.735873,-0.04017328,0.6738623
0.4754363,427.2339,54.25351,47.99213,0.4421296,0.05350674,-0.4489146,-0.05286583,-0.7356483,-0.04002689,0.6741104
0.4892904,427.2339,54.25358,47.99216,0.4421611,0.05358312,-0.4488972,-0.05259968,-0.7356659,-0.03998592,0.6741143
0.5022724,427.2339,54.25364,47.99217,0.4421704,0.05363527,-0.4488793,-0.05266284,-0.7355973,-0.04001179,0.6741828
0.5153394,427.2339,54.25349,47.99222,0.4422174,0.05349373,-0.4488881,-0.05268006,-0.7355816,-0.04024287,0.6741848
0.5294634,427.2339,54.25338,47.99229,0.4422861,0.05337846,-0.4489141,-0.05270322,-0.7354679,-0.04048514,0.6742926
0.5440741,427.2339,54.25333,47.99237,0.4423711,0.05333044,-0.4489257,-0.05264994,-0.7354624,-0.04041342,0.6743069
0.5585396,427.2339,54.25328,47.99247,0.4424662,0.05327616,-0.4488785,-0.05245981,-0.7353996,-0.04037147,0.6743928
0.5716184,427.2338,54.2532,47.99257,0.4425637,0.05319979,-0.4488197,-0.05239902,-0.735366,-0.04035363,0.6744352
0.6092907,427.2339,54.25307,47.99246,0.4424568,0.05306564,-0.4488854,-0.05291063,-0.7353954,-0.04085866,0.6743328
0.6306539,427.2339,54.25308,47.99263,0.4426217,0.05307831,-0.4488861,-0.05333776,-0.7352415,-0.04144319,0.6744314
0.6505057,427.2341,54.25307,47.99261,0.442612,0.05307461,-0.4490565,-0.05346617,-0.7352182,-0.04168075,0.674432
0.6705592,427.2341,54.25318,47.99273,0.4427222,0.05318042,-0.449052,-0.05433854,-0.7352542,-0.04184826,0.6743125
0.6912261,427.2341,54.25347,47.99241,0.4424106,0.05346597,-0.4490514,-0.05451662,-0.7353842,-0.04197596,0.6741484
0.7130439,427.234,54.25349,47.99243,0.4424251,0.05349028,-0.4490121,-0.05467192,-0.7354957,-0.04211815,0.6740053
0.7275447,427.2341,54.25338,47.99245,0.442445,0.05338023,-0.4490619,-0.05490631,-0.7356233,-0.04194616,0.6738579
0.7479901,427.2341,54.25338,47.99241,0.4424097,0.05337513,-0.4490545,-0.05536522,-0.7357894,-0.04188815,0.6736424
