Time,WorldPosX,WorldPosY,WorldPosZ,LocalPosX,LocalPosY,LocalPosZ,RotationX,RotationY,RotationZ,RotationW
0,426.785,54.2,47.55,0,0,0,0,-0.7071068,0,0.7071068
0.02,426.785,54.2,47.55,0,0,0,0,-0.7071068,0,0.7071068
0.3533334,427.5956,54.08286,48.24635,0.6963481,-0.1171362,-0.8105767,-0.07512338,-0.7162815,-0.09995286,0.686518
0.4062724,427.5958,54.08331,48.24678,0.6967737,-0.1166932,-0.8107497,-0.07647544,-0.7168053,-0.09969614,0.6858589
0.4204091,427.596,54.08364,48.24676,0.6967586,-0.1163586,-0.8109628,-0.07859843,-0.7181292,-0.09899513,0.684334
0.4274881,427.5959,54.08334,48.24664,0.6966395,-0.1166659,-0.8108929,-0.07931059,-0.7187179,-0.09889288,0.6836481
0.4405479,427.5958,54.08297,48.24652,0.6965224,-0.1170283,-0.8108041,-0.07995809,-0.7193294,-0.09871068,0.6829554
0.4553027,427.5956,54.08239,48.24589,0.6958836,-0.1176117,-0.8106332,-0.08054964,-0.7200155,-0.09843491,0.6822024
0.4716662,427.5955,54.08177,48.24522,0.6952144,-0.1182292,-0.8104601,-0.08107239,-0.7206994,-0.09807552,0.6814697
0.4843899,427.5956,54.08204,48.24448,0.6944712,-0.1179574,-0.8105564,-0.08154967,-0.7213616,-0.09753256,0.6807897
0.497691,427.5958,54.08271,48.24389,0.6938852,-0.1172894,-0.8107826,-0.08212939,-0.7219379,-0.09713681,0.6801654
0.5123907,427.5961,54.08329,48.24336,0.6933544,-0.1167084,-0.8110636,-0.08235496,-0.7224352,-0.09681211,0.6796563
0.5256636,427.5963,54.08297,48.24303,0.6930246,-0.1170259,-0.8113204,-0.08286873,-0.722762,-0.09663674,0.6792712
0.5396211,427.5966,54.0826,48.24272,0.6927195,-0.1174051,-0.8115979,-0.08321492,-0.7228921,-0.09669861,0.6790816
0.5539076,427.5966,54.08286,48.24265,0.692642,-0.1171432,-0.8116356,-0.08344165,-0.722927,-0.09684188,0.6789961
0.5672395,427.5966,54.08337,48.24268,0.6926724,-0.1166288,-0.8116279,-0.08358329,-0.7227727,-0.09713837,0.6791006
0.5813661,427.5967,54.08389,48.24273,0.6927205,-0.1161128,-0.811667,-0.08367135,-0.7225274,-0.09758747,0.6792865
0.5955567,427.5968,54.08419,48.24263,0.692623,-0.1158056,-0.811822,-0.08355512,-0.7221209,-0.09821478,0.6796426
0.6116202,427.5969,54.08469,48.24258,0.6925796,-0.1153084,-0.8119287,-0.08347149,-0.7216074,-0.09888206,0.6801013
0.6235552,427.5969,54.08418,48.24264,0.692637,-0.1158182,-0.8118868,-0.08332537,-0.7209995,-0.09951283,0.6806717
0.6371139,427.5968,54.08368,48.24275,0.6927432,-0.1163207,-0.8117591,-0.08278743,-0.7202991,-0.100451,0.6813408
