Time,WorldPosX,WorldPosY,WorldPosZ,LocalPosX,LocalPosY,LocalPosZ,RotationX,RotationY,RotationZ,RotationW
0,426.785,54.2,47.55,0,0,0,0,-0.7071068,0,0.7071068
0.02,426.785,54.2,47.55,0,0,0,0,-0.7071068,0,0.7071068
0.3533334,426.7957,54.12236,47.55885,0.008851737,-0.07764155,-0.01070958,0.1125887,-0.724776,0.05186987,0.6777412
0.4262132,426.7942,54.12158,47.55911,0.009108171,-0.07842165,-0.009200692,0.113935,-0.7242085,0.05506638,0.6778708
0.4539959,426.7951,54.12215,47.56131,0.01130499,-0.07785177,-0.01013638,0.1124978,-0.7235637,0.05427252,0.6788626
0.4721276,426.7956,54.12287,47.56231,0.01230577,-0.0771275,-0.01056269,0.1110255,-0.7230585,0.05244599,0.6797862
0.4858637,426.7957,54.12333,47.56231,0.01230779,-0.07667205,-0.01074318,0.1095784,-0.722612,0.05113591,0.6805952
0.4985094,426.7959,54.12374,47.56239,0.01239193,-0.07625983,-0.01090688,0.1082788,-0.7220758,0.04966325,0.6814808
0.5120196,426.7959,54.12428,47.56237,0.01237001,-0.07572548,-0.01090691,0.1070447,-0.7215613,0.04851697,0.6823028
0.5264096,426.7957,54.12468,47.56246,0.01245738,-0.07531807,-0.0107261,0.1046969,-0.7210463,0.04738159,0.6832906
0.5409268,426.7955,54.12494,47.56248,0.01248079,-0.07505627,-0.01047054,0.1021473,-0.7203611,0.04652097,0.6844574
0.5538234,426.7952,54.12504,47.56257,0.01256407,-0.07495702,-0.01019671,0.099786,-0.7197262,0.04662439,0.6854657
0.5689474,426.7949,54.12472,47.56248,0.01248178,-0.07528337,-0.009872789,0.0980261,-0.7190503,0.04759479,0.6863618
0.5825067,426.7944,54.12432,47.56233,0.01232475,-0.07567652,-0.009403557,0.09703743,-0.7182015,0.04989039,0.6872275
0.5961897,426.7937,54.12405,47.56218,0.01217195,-0.07595605,-0.008742083,0.09693508,-0.7175159,0.05236512,0.6877736
0.6098601,426.793,54.12345,47.56218,0.01217239,-0.07654964,-0.007966844,0.09662178,-0.7164454,0.0549305,0.6887329
0.6238369,426.7922,54.12241,47.56207,0.01206284,-0.07758529,-0.007219709,0.09760759,-0.7154464,0.05804344,0.6893768
0.6375006,426.7915,54.12125,47.56215,0.01214489,-0.07875004,-0.006468839,0.09930594,-0.7144883,0.06160827,0.6898183
0.6513966,426.7903,54.11986,47.56215,0.01214836,-0.08013868,-0.005344502,0.1020612,-0.7135265,0.06658341,0.6899494
0.6654363,426.7891,54.11837,47.5621,0.01209068,-0.08162744,-0.004097451,0.1040162,-0.7129812,0.07140803,0.6897388
0.6789085,426.7879,54.1168,47.56195,0.0119499,-0.08320371,-0.002915975,0.1071121,-0.7125309,0.07611551,0.6892266
