Time,WorldPosX,WorldPosY,WorldPosZ,LocalPosX,LocalPosY,LocalPosZ,RotationX,RotationY,RotationZ,RotationW
0,426.785,54.2,47.55,0,0,0,0,-0.7071068,0,0.7071068
0.02,426.785,54.2,47.55,0,0,0,0,-0.7071068,0,0.7071068
0.3533334,427.0782,54.3934,47.60812,0.05811638,0.1934017,-0.2932046,0.05015767,-0.7466113,0.03174478,0.6626071
0.4342231,427.0774,54.39221,47.6087,0.05869299,0.192208,-0.2924247,0.05333875,-0.744601,0.03414804,0.6644986
0.4593185,427.0767,54.39124,47.60938,0.05938037,0.1912344,-0.2916857,0.05547341,-0.7421802,0.03600516,0.6669295
0.4719069,427.0764,54.39091,47.6096,0.05959772,0.1909124,-0.2914276,0.05634142,-0.7413475,0.03669578,0.6677448
0.4838984,427.0763,54.39073,47.60971,0.05970635,0.1907292,-0.2912833,0.05678998,-0.741231,0.03719262,0.6678087
0.4984922,427.0762,54.39067,47.60977,0.05976778,0.1906736,-0.2912389,0.05698378,-0.7410107,0.03748101,0.6680205
0.5120491,427.0762,54.39075,47.60979,0.05979303,0.1907483,-0.2912431,0.05707662,-0.7409178,0.03764999,0.6681061
0.5260063,427.0762,54.39079,47.60982,0.05981521,0.1907844,-0.2911764,0.05742389,-0.7409078,0.03763405,0.6680883
0.5398064,427.0761,54.39075,47.60987,0.05986439,0.1907512,-0.2910866,0.05763958,-0.7407816,0.03790671,0.6681944
0.553656,427.076,54.39079,47.60983,0.0598258,0.1907924,-0.2909993,0.05819857,-0.7409524,0.03764924,0.6679708
0.5670378,427.0759,54.39079,47.60983,0.05982202,0.1907827,-0.2908563,0.05867022,-0.7408086,0.03741276,0.6681025
0.5811551,427.0757,54.39081,47.60984,0.05983724,0.1908089,-0.2907007,0.05863782,-0.7407888,0.03739927,0.668128
0.5948126,427.0756,54.3908,47.60993,0.05992818,0.1908017,-0.2905858,0.05857428,-0.7407373,0.03773171,0.668172
0.6100773,427.0754,54.39066,47.61002,0.06001963,0.1906578,-0.2904182,0.05905178,-0.7407598,0.03847522,0.6680626
0.6381482,427.0753,54.39048,47.61003,0.06002801,0.1904753,-0.2902935,0.05956066,-0.7406928,0.03906091,0.6680577
0.6522475,427.0752,54.39029,47.61,0.06000227,0.1902931,-0.2902284,0.06016647,-0.7406906,0.0394218,0.6679847
0.6659212,427.0751,54.39005,47.60998,0.05998021,0.1900452,-0.2901304,0.06065997,-0.7407156,0.03984685,0.667887
0.6803963,427.075,54.38982,47.60994,0.05994011,0.1898196,-0.2899997,0.06110629,-0.7406765,0.04015607,0.6678714
0.6960427,427.0749,54.38966,47.60989,0.05989082,0.1896636,-0.2898538,0.06171354,-0.740632,0.04080613,0.6678253
