Time,WorldPosX,WorldPosY,WorldPosZ,LocalPosX,LocalPosY,LocalPosZ,RotationX,RotationY,RotationZ,RotationW
0,426.785,54.2,47.55,0,0,0,0,-0.7071068,0,0.7071068
0.02,426.785,54.2,47.55,0,0,0,0,-0.7071068,0,0.7071068
0.3533334,426.7372,53.87192,47.76706,0.2170571,-0.3280849,0.04779929,-0.02667299,-0.9588801,-0.09918764,0.2645742
0.4067326,426.7372,53.87181,47.76706,0.2170616,-0.3281879,0.04782413,-0.02671539,-0.9588628,-0.09912491,0.2646557
0.4301122,426.7372,53.87169,47.76711,0.2171007,-0.3283079,0.04775976,-0.02668697,-0.9588579,-0.09909988,0.2646862
0.4367062,426.7373,53.87169,47.76712,0.2171178,-0.3283155,0.04769658,-0.02656941,-0.9588435,-0.09909688,0.2647511
0.4533747,426.7374,53.87171,47.7672,0.2171953,-0.3282922,0.0475904,-0.02653762,-0.958859,-0.09903069,0.2647227
0.4628185,426.7375,53.87176,47.76727,0.2172674,-0.3282436,0.04749348,-0.02651814,-0.9588617,-0.09901565,0.2647207
0.475329,426.7376,53.87184,47.76736,0.2173545,-0.3281582,0.04737585,-0.0264555,-0.9588665,-0.09905448,0.2646947
0.492138,426.7377,53.87188,47.76741,0.217407,-0.3281213,0.04728653,-0.02659034,-0.958886,-0.09898067,0.2646383
0.5058686,426.7378,53.87192,47.76744,0.2174381,-0.3280792,0.04720492,-0.02661714,-0.958916,-0.09900749,0.2645169
0.5194377,426.7378,53.87196,47.76749,0.2174872,-0.3280461,0.04718632,-0.02672308,-0.958974,-0.09896563,0.2643117
0.5321642,426.7378,53.87197,47.7675,0.2174994,-0.3280333,0.04723888,-0.02675579,-0.9590181,-0.09898874,0.2641399
0.5469707,426.7377,53.87198,47.76751,0.2175047,-0.3280194,0.0472898,-0.02677806,-0.9590718,-0.09896209,0.2639526
0.5611094,426.7377,53.87202,47.76749,0.2174847,-0.327982,0.04734116,-0.02708621,-0.9590917,-0.09924994,0.2637401
0.5748318,426.7376,53.87207,47.76747,0.217464,-0.3279343,0.04740413,-0.02726214,-0.9591447,-0.09922343,0.2635394
0.5876597,426.7375,53.87201,47.76741,0.2174068,-0.3279908,0.0474762,-0.02746063,-0.9591765,-0.09915604,0.2634285
0.6060857,426.7374,53.87188,47.76734,0.2173346,-0.3281227,0.0475683,-0.02724585,-0.9592025,-0.09906195,0.2633915
0.6164954,426.7373,53.87178,47.76727,0.2172608,-0.3282202,0.04765672,-0.0271842,-0.9592146,-0.09909286,0.2633418
0.630161,426.7373,53.87175,47.7672,0.217194,-0.3282553,0.04771397,-0.02693923,-0.959182,-0.09902719,0.2635106
0.6446185,426.7372,53.87169,47.76715,0.2171506,-0.3283149,0.04776822,-0.0270684,-0.9591512,-0.09887385,0.2636671
