Time,WorldPosX,WorldPosY,WorldPosZ,LocalPosX,LocalPosY,LocalPosZ,RotationX,RotationY,RotationZ,RotationW
0,426.785,54.2,47.55,0,0,0,0,-0.7071068,0,0.7071068
0.02,426.785,54.2,47.55,0,0,0,0,-0.7071068,0,0.7071068
0.3533334,427.2003,54.33366,48.03022,0.480216,0.1336551,-0.4153028,-0.003356855,-0.761513,-0.05534469,0.6457738
0.4515035,427.1996,54.33408,48.03117,0.4811692,0.134077,-0.4146526,-0.002871078,-0.7606492,-0.05632098,0.6467091
0.4854397,427.1986,54.33365,48.033,0.4829949,0.13365,-0.41362,-0.002003282,-0.7602891,-0.05691331,0.6470838
0.4991213,427.198,54.33373,48.03375,0.4837489,0.1337337,-0.4130205,-0.001289891,-0.7600717,-0.05680163,0.6473508
0.5099601,427.1976,54.33398,48.03404,0.4840364,0.133975,-0.4126414,-0.0008258726,-0.7599731,-0.05687476,0.6474609
0.5232109,427.1975,54.33429,48.03387,0.4838626,0.1342927,-0.4124834,-0.0006648153,-0.7599393,-0.05677436,0.6475096
0.5362992,427.1971,54.33386,48.03501,0.4850031,0.133857,-0.412122,-0.00038369,-0.7601177,-0.05698577,0.6472818
0.5519927,427.197,54.33363,48.03567,0.4856699,0.1336302,-0.4119997,-0.00010648,-0.7601634,-0.05698334,0.6472285
0.5640255,427.1969,54.33362,48.03605,0.4860429,0.1336158,-0.4118769,0.0001163185,-0.7600522,-0.05675427,0.6473792
0.5774958,427.1967,54.33379,48.03616,0.4861527,0.133786,-0.4117558,0.0005099978,-0.7599197,-0.05690577,0.6475211
0.5932034,427.1967,54.33412,48.036,0.4859923,0.1341157,-0.411677,0.0008531287,-0.7593631,-0.05707233,0.6481589
0.6055675,427.1969,54.3341,48.03618,0.4861782,0.1340932,-0.4118948,0.0007331818,-0.7593172,-0.05715018,0.6482059
0.6246067,427.1971,54.33417,48.03622,0.4862138,0.1341705,-0.4121448,0.0008203983,-0.7593284,-0.05733239,0.6481765
0.6352574,427.1969,54.3343,48.03649,0.486489,0.1342999,-0.4118789,0.0007701553,-0.7591856,-0.05757029,0.6483228
0.6488171,427.1966,54.33449,48.03682,0.4868144,0.1344874,-0.4115855,0.0008640792,-0.7590995,-0.05779228,0.6484038
0.6639605,427.1965,54.33458,48.03703,0.4870301,0.1345758,-0.4115349,0.0007044207,-0.7589782,-0.05798352,0.6485289
0.6785281,427.1965,54.33454,48.03738,0.4873794,0.1345405,-0.4114712,0.0004790854,-0.7589399,-0.05809738,0.6485636
0.693396,427.1965,54.33452,48.03761,0.4876019,0.1345225,-0.4114658,0.0001098104,-0.7591118,-0.05851849,0.6483249
0.7080442,427.1964,54.33457,48.03799,0.4879872,0.1345657,-0.4113744,-0.0002140049,-0.7589108,-0.05898779,0.6485176
