Time,WorldPosX,WorldPosY,WorldPosZ,LocalPosX,LocalPosY,LocalPosZ,RotationX,RotationY,RotationZ,RotationW
0,426.785,54.2,47.55,0,0,0,0,-0.4226183,0,0.9063079
0.02,426.785,54.2,47.55,0,0,0,0,-0.4226183,0,0.9063079
0.3533334,427.0692,54.17905,47.8055,0.3784053,-0.02095187,-0.05347514,-0.007377764,-0.6668801,-0.02380629,0.7447483
0.4600044,427.0708,54.17902,47.80534,0.3793132,-0.02097535,-0.05481935,-0.006663016,-0.6649184,-0.02242281,0.7465498
0.4999214,427.0713,54.1788,47.80561,0.379851,-0.02119665,-0.0550374,-0.004531003,-0.663622,-0.02303548,0.7476997
0.5172588,427.0714,54.17892,47.80551,0.3798269,-0.02108224,-0.05516101,-0.004693788,-0.6631816,-0.02398468,0.7480596
0.5386379,427.0715,54.17905,47.80563,0.3799631,-0.02095063,-0.05513455,-0.004358369,-0.6628194,-0.02437721,0.7483698
0.5530726,427.0715,54.17908,47.80534,0.3797792,-0.02091733,-0.0553642,-0.004679078,-0.6631031,-0.02458646,0.7481096
0.5649306,427.0716,54.17897,47.80525,0.3797686,-0.0210355,-0.05549176,-0.004799935,-0.6633384,-0.02465154,0.7478982
0.57991,427.0717,54.17884,47.80515,0.3797691,-0.02116282,-0.05565249,-0.004477728,-0.6634759,-0.0245167,0.7477826
0.5955815,427.0719,54.17882,47.80509,0.3797917,-0.02118249,-0.05577619,-0.00443558,-0.6637106,-0.02424386,0.7475835
0.6078988,427.0719,54.17881,47.80503,0.3797823,-0.02118627,-0.055851,-0.004847635,-0.6639832,-0.02516305,0.7473084
0.6222168,427.072,54.17888,47.80501,0.3798262,-0.02112192,-0.05593748,-0.005396189,-0.6643939,-0.02523758,0.7469371
0.6355984,427.0721,54.17893,47.80497,0.3798545,-0.02106882,-0.05602976,-0.005558023,-0.6647356,-0.02502966,0.7466388
0.649286,427.0722,54.17898,47.80488,0.3798551,-0.02102403,-0.05617806,-0.00527282,-0.6651124,-0.02528774,0.7462965
0.6651251,427.0723,54.17909,47.80476,0.3798382,-0.02091379,-0.05635054,-0.00509342,-0.665571,-0.02601894,0.7458636
0.6800699,427.0724,54.17924,47.80461,0.3797992,-0.0207561,-0.05653448,-0.005059146,-0.6661119,-0.02611384,0.7453774
0.6945927,427.0724,54.17937,47.80448,0.3797099,-0.02063024,-0.05662948,-0.005504066,-0.6664648,-0.02604523,0.7450612
0.7093441,427.0725,54.17951,47.80435,0.3796371,-0.02049281,-0.05673626,-0.005347822,-0.6667538,-0.02610174,0.7448018
0.724178,427.0726,54.17973,47.80433,0.3796682,-0.02026859,-0.0568103,-0.00554394,-0.6673899,-0.02661321,0.7442123
0.737855,427.0727,54.17997,47.80431,0.3797446,-0.02003071,-0.05692416,-0.005829086,-0.6674203,-0.02695862,0.7441704
0.7522398,427.0728,54.18019,47.80428,0.3798045,-0.01980616,-0.05705417,-0.00646756,-0.6672366,-0.02810539,0.7442874
0.7661331,427.073,54.18036,47.80418,0.3798443,-0.01963773,-0.05724382,-0.006903511,-0.6671771,-0.02904189,0.7443009
0.7797738,427.0732,54.1805,47.8041,0.3798962,-0.01949554,-0.05743683,-0.007517559,-0.6670655,-0.02947076,0.7443781
0.794291,427.0733,54.18069,47.80404,0.379936,-0.01930865,-0.05758585,-0.007541267,-0.6668056,-0.0296766,0.7446024
0.8080621,427.0735,54.18089,47.80399,0.3800103,-0.0191113,-0.05775483,-0.00749481,-0.6666746,-0.03004964,0.7447054
0.8233169,427.0736,54.18103,47.80396,0.3800817,-0.01896655,-0.05787911,-0.008293618,-0.6667688,-0.03006682,0.7446119
0.8388863,427.0737,54.18114,47.80394,0.3801016,-0.01885551,-0.05793418,-0.009100873,-0.667035,-0.0306588,0.7443398
0.8523524,427.0738,54.18121,47.80385,0.3800639,-0.01878989,-0.05803194,-0.009505334,-0.6674117,-0.03127998,0.7439711
0.86608,427.0739,54.18121,47.80376,0.3800511,-0.01878707,-0.05815092,-0.00958361,-0.6677027,-0.03230719,0.743665
0.8797507,427.0739,54.18117,47.80369,0.3800579,-0.01882883,-0.05826943,-0.008985836,-0.6676592,-0.03371783,0.7436489
0.8929006,427.0742,54.18119,47.80362,0.3801481,-0.01881177,-0.05848134,-0.008498082,-0.6679221,-0.03389597,0.7434105
0.9064938,427.0743,54.18119,47.80357,0.3802006,-0.01881017,-0.05862668,-0.008403366,-0.6681228,-0.03453561,0.7432017
0.920862,427.0744,54.18117,47.80353,0.3802313,-0.01883215,-0.05872454,-0.008345852,-0.668256,-0.03544157,0.74304
0.9351779,427.0744,54.1811,47.80353,0.3802626,-0.01889841,-0.05875938,-0.008669849,-0.6683957,-0.03677952,0.7428455
0.9504935,427.0745,54.18101,47.80353,0.3802741,-0.01899295,-0.05877706,-0.008232055,-0.6681898,-0.03960404,0.7428906
0.9711004,427.0746,54.18087,47.80341,0.3802461,-0.01913135,-0.05893021,-0.006058034,-0.667816,-0.04213338,0.7431083
