Time,WorldPosX,WorldPosY,WorldPosZ,LocalPosX,LocalPosY,LocalPosZ,RotationX,RotationY,RotationZ,RotationW
0,426.785,54.2,47.55,0,0,0,0,-0.7071068,0,0.7071068
0.02,426.785,54.2,47.55,0,0,0,0,-0.7071068,0,0.7071068
0.3533334,426.7714,54.1899,47.54964,-0.000360366,-0.01010704,0.0136374,0.01026307,-0.7328552,0.02566847,0.6798229
0.4348229,426.7724,54.1911,47.55111,0.001107688,-0.008903051,0.01261946,0.008170705,-0.7324749,0.02310344,0.6803529
0.4655061,426.7736,54.19205,47.55215,0.002151479,-0.007952848,0.01142656,0.005224076,-0.7329378,0.01937634,0.6799995
0.4835582,426.7742,54.19241,47.5525,0.002495454,-0.007589092,0.01078195,0.004400602,-0.7332612,0.01793619,0.6796963
0.4959491,426.7745,54.19248,47.55281,0.002812752,-0.007523403,0.01051585,0.004171055,-0.7332595,0.01791673,0.6797
0.509994,426.7747,54.19254,47.55295,0.002948999,-0.007460373,0.01034537,0.00389098,-0.7330961,0.0169317,0.6799033
0.5234953,426.7747,54.19265,47.55306,0.003056792,-0.007353392,0.01028101,0.003224672,-0.7328169,0.01551016,0.6802416
0.5735182,426.7752,54.1933,47.55355,0.003543627,-0.006699542,0.009766526,0.002683114,-0.7326918,0.01428629,0.6804054
0.5967336,426.7768,54.19396,47.55467,0.004663628,-0.006042886,0.008168705,0.002335074,-0.73217,0.01145714,0.6810216
0.6065509,426.7771,54.19424,47.5549,0.004902195,-0.005762268,0.007867565,0.002473681,-0.7318761,0.0108456,0.681347
0.6193321,426.7775,54.19452,47.55516,0.005156473,-0.005482601,0.007476609,0.002200858,-0.731539,0.01023854,0.6817193
0.6338986,426.7777,54.19483,47.55555,0.005544826,-0.005173234,0.007248199,0.001566337,-0.7310594,0.009079482,0.6822516
0.6490517,426.778,54.19514,47.55592,0.005917564,-0.004856506,0.006971007,0.001204643,-0.7306696,0.007702587,0.6826867
0.6622548,426.7783,54.19495,47.5563,0.006299645,-0.005045537,0.006740495,0.0009099317,-0.730341,0.006889467,0.6830475
0.6761374,426.7785,54.19474,47.55668,0.006677393,-0.005264164,0.006472781,0.0006261859,-0.7299464,0.006599357,0.6834723
0.689379,426.7787,54.19459,47.55714,0.007139012,-0.005413969,0.00627592,0.0004703407,-0.7295108,0.006529854,0.683938
0.7030585,426.779,54.19459,47.55759,0.007584654,-0.005410307,0.006030547,0.0005562718,-0.7290723,0.005984639,0.6844105
0.7167228,426.7792,54.19463,47.55799,0.007991496,-0.005367082,0.005795409,0.0005816228,-0.7287247,0.005318387,0.684786
0.7302727,426.7794,54.19464,47.55854,0.008537177,-0.005362935,0.005644642,0.0001888794,-0.7285201,0.005285257,0.6850041
