Time,WorldPosX,WorldPosY,WorldPosZ,LocalPosX,LocalPosY,LocalPosZ,RotationX,RotationY,RotationZ,RotationW
0,426.785,54.2,47.55,0,0,0,0,0,0,1
0.02,426.785,54.2,47.55,0,0,0,0,0,0,1
0.3533334,427.2792,54.06281,48.28192,0.4941574,-0.1371964,0.7319149,-0.04721196,-0.6674423,-0.07244275,0.7396241
0.4452192,427.2794,54.0627,48.282,0.4944524,-0.1372979,0.7319987,-0.04679623,-0.667643,-0.07249894,0.739464
0.4804229,427.2794,54.06285,48.2821,0.4943815,-0.1371535,0.7320955,-0.04704544,-0.6677166,-0.07218085,0.7394127
0.50445,427.2793,54.06295,48.2823,0.4942834,-0.1370548,0.7323017,-0.04745102,-0.6677747,-0.07212732,0.7393395
0.5164179,427.2793,54.06298,48.28234,0.4942805,-0.1370182,0.7323344,-0.04755585,-0.6678047,-0.07218901,0.7392998
0.5280293,427.2793,54.06299,48.28235,0.4942666,-0.1370083,0.7323439,-0.0474981,-0.6678287,-0.07228469,0.7392724
0.5410774,427.2792,54.06299,48.28236,0.4942473,-0.1370131,0.7323573,-0.04740834,-0.6678995,-0.07237902,0.7392051
0.5559961,427.2793,54.06298,48.28233,0.4942585,-0.1370251,0.7323209,-0.04738137,-0.6679249,-0.07243776,0.7391779
0.570541,427.2793,54.06293,48.28228,0.4942822,-0.1370644,0.7322748,-0.04744567,-0.6679652,-0.07251942,0.7391295
0.5856183,427.2793,54.06289,48.28221,0.4943074,-0.1371114,0.73221,-0.04750508,-0.667973,-0.07265581,0.7391052
0.5998122,427.2792,54.06287,48.28223,0.4942397,-0.1371253,0.7322294,-0.04745632,-0.6679868,-0.07268428,0.7390932
0.6124743,427.2792,54.06284,48.28224,0.4941775,-0.1371556,0.7322406,-0.04733311,-0.6679484,-0.07273278,0.7391309
0.6268433,427.2792,54.06276,48.28223,0.4941743,-0.137237,0.7322301,-0.04725184,-0.6678737,-0.07272457,0.7392045
0.6420791,427.2792,54.06267,48.28222,0.4941719,-0.1373283,0.7322108,-0.04706617,-0.6677743,-0.07270225,0.7393084
0.6573274,427.2791,54.0626,48.28222,0.4941543,-0.1374034,0.7322178,-0.0469797,-0.6676835,-0.07252485,0.7394132
0.6715555,427.2791,54.06254,48.28224,0.4941161,-0.1374585,0.7322346,-0.04690393,-0.6675878,-0.07244807,0.7395118
