Time,WorldPosX,WorldPosY,WorldPosZ,LocalPosX,LocalPosY,LocalPosZ,RotationX,RotationY,RotationZ,RotationW
0,426.785,54.2,47.55,0,0,0,0,0,0,1
0.02,426.785,54.2,47.55,0,0,0,0,0,0,1
0.3533334,427.6913,54.01183,48.66472,0.9063529,-0.1881713,1.11472,-0.0629489,-0.7170168,-0.1035544,0.6864406
0.4302507,427.6911,54.01196,48.66368,0.9061332,-0.1880441,1.113681,-0.0647681,-0.7183231,-0.101432,0.6852215
0.4654962,427.6899,54.01118,48.66073,0.9048901,-0.1888231,1.110729,-0.06591491,-0.7235128,-0.09381268,0.680723
0.4808007,427.6892,54.01086,48.65953,0.9042228,-0.1891373,1.109524,-0.06625259,-0.7258807,-0.08967302,0.6787242
0.5006019,427.6884,54.01072,48.6582,0.903423,-0.1892806,1.108192,-0.06624999,-0.7279462,-0.08582788,0.6770073
0.5151287,427.6883,54.01091,48.65783,0.903318,-0.1890911,1.107827,-0.06543711,-0.72836,-0.08524836,0.6767144
0.5287309,427.6881,54.01121,48.65747,0.9030927,-0.1887875,1.107472,-0.06501208,-0.7289117,-0.08491748,0.6762028
0.5426413,427.6879,54.01154,48.65703,0.9028506,-0.1884566,1.107026,-0.06453852,-0.7291058,-0.08464317,0.6760732
0.5583158,427.6876,54.01128,48.65676,0.9026068,-0.1887211,1.106763,-0.06438975,-0.7293737,-0.08419605,0.6758543
0.572282,427.6873,54.01095,48.65663,0.9022897,-0.1890519,1.106623,-0.06407089,-0.7298335,-0.08322688,0.6755081
0.5848876,427.6871,54.01099,48.65612,0.9021094,-0.1890095,1.10612,-0.06485699,-0.7298733,-0.08143129,0.675609
0.6132138,427.6866,54.01138,48.65575,0.9015986,-0.1886251,1.105744,-0.066358,-0.7297416,-0.08153064,0.6755936
0.6451203,427.6863,54.01089,48.65606,0.9012746,-0.1891134,1.106053,-0.06595263,-0.7292566,-0.08119807,0.6761967
0.6782156,427.6859,54.01103,48.65616,0.9008972,-0.1889741,1.106161,-0.064612,-0.7289534,-0.08018988,0.6767731
0.7003669,427.6858,54.01077,48.65686,0.9008307,-0.1892291,1.106856,-0.06320652,-0.7287564,-0.07943653,0.6772068
0.7270663,427.6861,54.01059,48.65738,0.9010892,-0.1894157,1.10738,-0.06328333,-0.7284641,-0.07980114,0.677471
