Time,WorldPosX,WorldPosY,WorldPosZ,LocalPosX,LocalPosY,LocalPosZ,RotationX,RotationY,RotationZ,RotationW
0,426.785,54.2,47.55,0,0,0,0,0,0,1
0.02,426.785,54.2,47.55,0,0,0,0,0,0,1
0.3533334,427.5949,54.06278,48.57312,0.8099444,-0.1372232,1.023121,0.008020622,-0.7356966,-0.01301964,0.6771386
0.4366061,427.5978,54.06481,48.57284,0.8127695,-0.1351921,1.022835,0.000218137,-0.7358273,-0.01910373,0.6768997
0.4716219,427.5992,54.06644,48.57309,0.8142343,-0.1335652,1.023087,-0.006405646,-0.7364686,-0.02323375,0.6760424
0.4843358,427.6,54.06713,48.57311,0.8149906,-0.1328732,1.02311,-0.008854081,-0.7367234,-0.02483807,0.67568
0.4964595,427.6004,54.06755,48.573,0.8154028,-0.1324518,1.022995,-0.01003563,-0.7368406,-0.02573548,0.675502
0.5092561,427.6009,54.06788,48.5729,0.8158557,-0.1321222,1.0229,-0.01131125,-0.7369995,-0.0267061,0.6752707
0.524048,427.6013,54.06812,48.5728,0.8163227,-0.1318872,1.022797,-0.01237202,-0.737165,-0.02779282,0.6750277
0.5377997,427.6018,54.06828,48.57277,0.8167573,-0.1317244,1.02277,-0.01331868,-0.7374066,-0.02829035,0.6747249
0.5512261,427.6022,54.06845,48.57273,0.8172339,-0.1315522,1.022733,-0.0140142,-0.7375914,-0.02883809,0.6744856
0.5654262,427.6028,54.06863,48.57272,0.8177751,-0.1313664,1.022718,-0.01449591,-0.7377506,-0.02920531,0.6742855
0.5794091,427.6031,54.06876,48.57265,0.8181452,-0.1312363,1.022651,-0.01496746,-0.7378742,-0.02988367,0.6741102
0.5926954,427.6036,54.06884,48.57271,0.8185774,-0.131156,1.022706,-0.01565347,-0.7380797,-0.03001369,0.673864
0.6072075,427.6039,54.06908,48.57264,0.8188841,-0.1309231,1.022636,-0.01615961,-0.7381425,-0.03059073,0.6737571
0.6212524,427.6042,54.06932,48.57259,0.8191982,-0.1306755,1.022586,-0.01673813,-0.7382858,-0.03120309,0.6735579
0.6357275,427.6046,54.0696,48.57252,0.8196048,-0.1303971,1.022519,-0.01715449,-0.7384036,-0.03171314,0.6733946
0.6505408,427.6049,54.06973,48.57249,0.819936,-0.130274,1.022483,-0.01725377,-0.7383046,-0.03212999,0.6734808
