Time,WorldPosX,WorldPosY,WorldPosZ,LocalPosX,LocalPosY,LocalPosZ,RotationX,RotationY,RotationZ,RotationW
0,426.785,54.2,47.55,0,0,0,0,-0.7071068,0,0.7071068
0.02,426.785,54.2,47.55,0,0,0,0,-0.7071068,0,0.7071068
0.3533334,427.0219,54.01361,48.66307,1.113062,-0.1863919,-0.2369303,-0.04477293,-0.8610842,-0.06321206,0.5025274
0.4293517,427.0216,54.01349,48.66321,1.113206,-0.1865119,-0.2366482,-0.04674635,-0.860787,-0.06281108,0.5029069
0.4517134,427.0215,54.0133,48.66342,1.113417,-0.1867034,-0.2364532,-0.04765386,-0.8602422,-0.06186507,0.5038703
0.4689778,427.0214,54.01324,48.6635,1.113493,-0.1867573,-0.2363794,-0.04823234,-0.8600243,-0.0617751,0.5041981
0.4781214,427.0214,54.0133,48.66346,1.113457,-0.1867044,-0.2363915,-0.04837942,-0.8600963,-0.06191606,0.5040439
0.4911752,427.0214,54.01325,48.66349,1.11349,-0.186754,-0.236369,-0.04901285,-0.8600076,-0.06173279,0.5041564
0.5058314,427.0214,54.01316,48.66351,1.113506,-0.1868344,-0.2363979,-0.04842998,-0.8600456,-0.06088386,0.5042512
0.5196353,427.0215,54.01305,48.6635,1.113498,-0.1869453,-0.2364589,-0.047647,-0.8600825,-0.0605201,0.5043068
0.5328594,427.0215,54.01298,48.66344,1.113437,-0.1870179,-0.236504,-0.04744537,-0.860249,-0.06030356,0.5040677
0.5480422,427.0215,54.01303,48.66336,1.113354,-0.1869732,-0.2365139,-0.04779773,-0.8604696,-0.06045464,0.5036395
0.5618683,427.0215,54.01314,48.66325,1.113247,-0.1868639,-0.2364705,-0.0480824,-0.8605982,-0.06078968,0.5033522
0.5770901,427.0215,54.01327,48.66323,1.113228,-0.1867293,-0.2364731,-0.04792394,-0.86066,-0.06053146,0.503293
0.5896996,427.0214,54.01337,48.66323,1.113222,-0.1866322,-0.236413,-0.04868086,-0.8605522,-0.06066509,0.5033883
0.6030281,427.0214,54.0134,48.66325,1.113246,-0.1865976,-0.2363454,-0.04866364,-0.8607061,-0.06022799,0.5031794
0.621986,427.0213,54.01337,48.66323,1.113227,-0.1866308,-0.2362804,-0.04824724,-0.8608574,-0.05984383,0.5030063
0.631555,427.0213,54.01335,48.66322,1.113212,-0.18665,-0.2362581,-0.04803338,-0.8610997,-0.05952933,0.5026495
0.6444969,427.0212,54.01334,48.66319,1.113183,-0.1866602,-0.2362327,-0.04833471,-0.8611072,-0.05974795,0.5025817
0.6580607,427.0212,54.01331,48.66318,1.113177,-0.1866957,-0.2362038,-0.04770446,-0.8612595,-0.05962527,0.5023954
0.6725585,427.0213,54.01331,48.66308,1.113079,-0.1866949,-0.2362743,-0.04692723,-0.8614338,-0.05910967,0.5022308
