Time,WorldPosX,WorldPosY,WorldPosZ,LocalPosX,LocalPosY,LocalPosZ,RotationX,RotationY,RotationZ,RotationW
0,426.785,54.2,47.55,0,0,0,0,-0.7071068,0,0.7071068
0.02,426.785,54.2,47.55,0,0,0,0,-0.7071068,0,0.7071068
0.3533334,427.3047,54.31264,47.45578,-0.09421825,0.1126407,-0.5197169,-0.01960558,-0.703123,-0.08497398,0.7057006
0.4298037,427.3035,54.31187,47.45532,-0.09468377,0.1118663,-0.5185328,-0.01517878,-0.698249,-0.07777873,0.7114552
0.4613912,427.3012,54.31137,47.45533,-0.09467852,0.1113666,-0.5162376,-0.01016874,-0.6961018,-0.07520455,0.7139211
0.4754506,427.3014,54.31118,47.4553,-0.09470677,0.1111834,-0.516365,-0.009211127,-0.6954907,-0.07473697,0.7145786
0.4861285,427.3018,54.31121,47.45497,-0.09503406,0.1112108,-0.516768,-0.01054675,-0.6955189,-0.07470903,0.7145354
0.5001007,427.3014,54.3114,47.45502,-0.09497924,0.111401,-0.5163881,-0.01032791,-0.6964954,-0.07350855,0.7137115
0.5140353,427.3016,54.31183,47.45479,-0.09520929,0.1118264,-0.5166146,-0.01002884,-0.6971998,-0.07322812,0.7130566
0.5280992,427.3019,54.31242,47.45447,-0.09553277,0.1124146,-0.5168654,-0.0108071,-0.6980357,-0.07421023,0.7121254
0.5426266,427.3028,54.31335,47.4542,-0.09580531,0.1133545,-0.5177486,-0.01233668,-0.6991706,-0.07510509,0.7108922
0.5566626,427.3034,54.31421,47.45408,-0.09592121,0.1142121,-0.5184294,-0.01204349,-0.7005986,-0.07662179,0.7093277
0.5697564,427.3039,54.31526,47.45385,-0.09615424,0.1152561,-0.5189021,-0.01154828,-0.7025849,-0.07627792,0.7074057
0.5850489,427.3047,54.3161,47.45373,-0.09627248,0.1160979,-0.5196955,-0.01352513,-0.7049999,-0.07518419,0.7050814
0.5986276,427.3056,54.31552,47.45363,-0.09637445,0.115517,-0.5206275,-0.01809628,-0.7060757,-0.07604513,0.7038088
0.6110523,427.3066,54.31551,47.45418,-0.09582136,0.1155037,-0.5215753,-0.02071846,-0.7075194,-0.07349557,0.7025565
0.6257141,427.3074,54.31527,47.45424,-0.09576237,0.1152678,-0.5224336,-0.01999548,-0.7070872,-0.07216527,0.7031502
0.6397451,427.3085,54.31483,47.45448,-0.09552957,0.1148275,-0.5235389,-0.01779621,-0.7058862,-0.07297247,0.7043316
0.6524611,427.3097,54.31441,47.45597,-0.09402827,0.1144057,-0.5246615,-0.01544916,-0.7032012,-0.06816954,0.7075468
0.666123,427.3105,54.31442,47.45737,-0.09263629,0.1144212,-0.5254876,-0.01219077,-0.7014075,-0.06833065,0.7093729
0.6797711,427.3119,54.3152,47.45724,-0.09276056,0.1152052,-0.5268788,-0.006090146,-0.6972424,-0.06857911,0.7135216
